"[34.68, 34.69]","[-211.63, 305.1]","[-460.57, 572.87]","[-427.05, 564.74]","[92.96, 92.97]","[-395.86, 646.17]","[-340.15, 636.82]","[-311.22, 600.71]","[-333.16, 557.66]","[-366.84, 502.86]","[-254.48, 325.33]","[-118.64, 171.27]"
"[319.94, 384.78]","[324.84, 381.82]","[308.57, 398.5]","[324.22, 382.01]","[284.39, 421.84]","[320.61, 387.98]","[320.73, 391.61]","[324.49, 390.09]","[324.54, 388.65]","[302.67, 406.23]","[317.55, 387.18]","[317.55, 385.78]"
"[318.75, 385.28]","[322.58, 383.15]","[325.73, 380.39]","[314.51, 390.94]","[305.81, 399.85]","[320.01, 387.98]","[320.74, 390.71]","[324.25, 389.14]","[323.7, 388.25]","[292.68, 415.22]","[317.56, 386.5]","[316.55, 386.23]"
"[317.34, 385.67]","[320.04, 384.5]","[325.01, 379.99]","[324.07, 380.41]","[322.34, 382.37]","[319.09, 387.83]","[320.68, 389.6]","[323.88, 388.47]","[322.62, 388.62]","[308.8, 398.71]","[317.32, 386.36]","[314.86, 387.26]"
"[315.21, 386.31]","[317.51, 385.68]","[324.07, 379.48]","[323.34, 379.51]","[321.87, 381.13]","[317.86, 387.47]","[319.62, 389.28]","[323.3, 387.73]","[319.91, 389.85]","[300.7, 405.07]","[315.21, 386.62]","[311.55, 388.85]"
"[312.1, 387.7]","[315.33, 386.25]","[322.49, 379.33]","[321.37, 379.57]","[320.59, 380.49]","[316.11, 387.46]","[318.17, 389.07]","[321.9, 387.32]","[315.74, 391.85]","[296.73, 406.59]","[311.96, 387.46]","[307.67, 390.64]"
"[308.61, 389.45]","[312.77, 387.18]","[320.9, 378.92]","[317.61, 380.95]","[317.81, 380.93]","[313.69, 387.94]","[316.33, 389.25]","[320.34, 387.0]","[311.29, 393.81]","[290.47, 409.85]","[307.27, 389.21]","[303.65, 392.33]"
"[305.47, 390.73]","[308.77, 388.76]","[317.1, 379.26]","[272.77, 421.7]","[314.41, 380.62]","[310.02, 389.01]","[315.43, 388.49]","[319.17, 386.55]","[307.44, 395.38]","[288.71, 408.78]","[302.72, 391.06]","[300.21, 393.65]"
"[301.66, 391.6]","[291.3, 403.08]","[311.85, 381.21]","[273.6, 417.48]","[309.99, 381.58]","[305.95, 389.65]","[277.68, 423.01]","[305.85, 396.99]","[304.04, 396.24]","[284.61, 410.52]","[298.84, 392.53]","[296.46, 394.74]"
"[297.62, 392.74]","[299.88, 391.77]","[305.69, 384.46]","[302.15, 385.53]","[305.02, 382.79]","[294.21, 397.74]","[274.63, 422.96]","[310.27, 390.05]","[300.55, 397.39]","[277.16, 415.34]","[295.1, 393.25]","[292.34, 395.76]"
"[292.66, 394.39]","[295.51, 392.46]","[299.47, 386.5]","[297.49, 385.76]","[299.61, 383.96]","[295.8, 392.37]","[299.11, 395.06]","[295.01, 401.93]","[295.84, 398.55]","[270.59, 418.27]","[285.18, 399.68]","[288.46, 396.35]"
