"[-48.94, 364.47]","[-84.04, 391.18]","[-92.0, 380.24]","[-115.03, 375.78]","[-133.56, 363.84]","[-181.76, 388.2]","[-129.28, 328.06]","[-87.82, 298.91]","[-96.75, 335.38]","[-89.27, 360.13]","[-57.58, 354.99]","[-6.92, 319.52]"
"[21.32, 38.07]","[19.22, 36.63]","[17.68, 37.85]","[18.65, 39.21]","[24.48, 35.3]","[24.63, 34.43]","[22.43, 34.12]","[23.08, 32.27]","[21.52, 35.98]","[25.21, 36.56]","[-151.29, 215.88]","[25.05, 38.43]"
"[18.71, 35.35]","[17.22, 36.28]","[17.13, 38.04]","[19.5, 37.17]","[22.05, 34.21]","[21.52, 33.12]","[21.06, 33.13]","[23.72, 32.69]","[25.69, 34.38]","[-161.62, 223.87]","[23.21, 37.82]","[22.4, 34.91]"
"[18.16, 34.49]","[17.17, 35.08]","[17.83, 35.7]","[17.08, 37.49]","[14.37, 39.72]","[19.27, 33.58]","[20.03, 32.75]","[23.25, 31.66]","[24.17, 33.82]","[-144.81, 204.44]","[21.58, 36.82]","[20.93, 34.32]"
"[17.65, 33.37]","[16.8, 34.06]","[17.25, 35.23]","[17.29, 36.2]","[18.52, 34.11]","[17.32, 33.76]","[18.74, 32.44]","[22.07, 31.84]","[23.36, 34.23]","[-162.1, 221.41]","[20.7, 36.89]","[19.62, 34.22]"
"[18.53, 35.07]","[16.36, 34.18]","[16.0, 34.42]","[16.78, 34.94]","[19.72, 32.36]","[18.56, 32.41]","[17.83, 32.4]","[20.65, 31.43]","[22.27, 34.2]","[-169.13, 229.78]","[21.93, 39.58]","[-18.65, 77.01]"
"[25.9, 43.43]","[15.57, 34.09]","[12.14, 30.5]","[15.76, 32.65]","[21.23, 34.45]","[21.96, 32.55]","[16.27, 30.67]","[16.58, 28.15]","[22.19, 34.29]","[-160.61, 237.94]","[-112.6, 204.53]","[-171.0, 259.37]"
"[25.07, 42.89]","[15.64, 34.06]","[12.44, 29.97]","[15.43, 31.72]","[19.48, 34.58]","[21.45, 32.22]","[16.43, 30.58]","[15.74, 28.71]","[20.88, 33.39]","[-155.54, 228.47]","[-145.21, 232.07]","[-186.4, 271.1]"
"[14.36, 33.57]","[15.53, 32.95]","[17.08, 33.56]","[17.36, 32.97]","[17.01, 30.53]","[16.73, 29.7]","[19.09, 31.68]","[23.03, 36.45]","[-141.35, 208.21]","[-149.56, 216.98]","[14.94, 45.99]","[-52.54, 105.06]"
"[14.69, 34.51]","[15.35, 34.18]","[16.67, 33.09]","[16.43, 32.34]","[18.32, 29.33]","[18.16, 30.4]","[20.13, 32.2]","[22.17, 34.96]","[-174.24, 234.02]","[22.04, 36.5]","[-9.74, 64.28]","[-5.68, 56.41]"
"[14.8, 34.52]","[15.54, 34.86]","[17.25, 33.3]","[16.75, 32.37]","[17.79, 30.07]","[19.52, 29.52]","[20.68, 32.26]","[22.68, 34.49]","[-156.3, 214.96]","[21.75, 34.65]","[17.64, 34.72]","[-0.86, 50.4]"
"[15.2, 33.33]","[16.65, 34.47]","[18.48, 33.89]","[17.98, 32.88]","[17.54, 31.17]","[20.39, 28.93]","[20.83, 32.82]","[24.27, 34.53]","[-170.93, 231.48]","[22.85, 34.5]","[18.36, 33.41]","[14.88, 33.27]"
"[16.85, 32.88]","[18.38, 34.27]","[19.95, 34.21]","[19.3, 33.27]","[18.05, 32.09]","[21.3, 29.26]","[21.95, 33.02]","[26.23, 34.15]","[-174.74, 237.05]","[23.89, 35.08]","[19.98, 33.07]","[16.06, 33.15]"
"[18.72, 33.16]","[20.01, 34.51]","[21.0, 34.9]","[20.74, 33.75]","[19.47, 32.76]","[22.26, 30.17]","[23.32, 32.83]","[27.09, 33.77]","[-159.41, 221.98]","[24.43, 35.29]","[21.27, 33.35]","[17.7, 33.63]"
"[20.02, 33.68]","[21.34, 35.33]","[22.19, 36.15]","[22.11, 34.78]","[21.01, 33.37]","[22.88, 31.69]","[24.92, 33.87]","[28.88, 35.36]","[-170.13, 236.48]","[26.42, 36.77]","[22.19, 35.1]","[19.06, 34.25]"
"[21.23, 35.62]","[23.38, 38.0]","[23.27, 38.12]","[21.91, 35.21]","[21.47, 33.18]","[24.59, 34.66]","[30.25, 39.2]","[-166.17, 243.78]","[-125.94, 202.84]","[28.44, 39.32]","[21.77, 35.79]","[18.93, 34.72]"
"[22.17, 39.86]","[24.0, 40.1]","[22.96, 39.87]","[22.61, 37.44]","[24.12, 35.66]","[26.27, 37.69]","[29.6, 40.4]","[-175.37, 248.35]","[30.75, 39.5]","[25.85, 38.15]","[22.12, 37.11]","[21.06, 37.97]"
"[24.61, 41.58]","[25.04, 42.73]","[23.92, 43.07]","[24.05, 40.92]","[26.08, 38.46]","[27.03, 40.2]","[28.81, 42.6]","[-145.49, 219.14]","[30.28, 41.68]","[26.63, 41.06]","[23.92, 40.38]","[23.16, 40.92]"
"[26.52, 44.76]","[26.92, 45.9]","[25.54, 46.72]","[25.56, 44.81]","[27.84, 41.83]","[28.07, 43.67]","[29.37, 46.03]","[-133.39, 211.04]","[31.13, 45.37]","[28.04, 44.84]","[26.01, 43.77]","[25.14, 44.28]"
"[28.98, 48.35]","[29.65, 49.5]","[28.01, 50.54]","[27.37, 48.95]","[29.91, 45.41]","[29.91, 47.55]","[31.23, 50.31]","[-144.35, 228.55]","[33.29, 49.8]","[30.25, 48.89]","[28.47, 47.19]","[27.37, 47.86]"
"[31.68, 52.34]","[32.73, 53.08]","[31.2, 54.26]","[29.99, 53.48]","[32.46, 49.83]","[32.31, 51.47]","[33.33, 53.79]","[-129.76, 219.27]","[35.05, 53.72]","[32.95, 52.55]","[31.58, 50.91]","[30.41, 51.69]"
"[34.88, 56.27]","[36.23, 56.65]","[34.77, 57.98]","[33.07, 57.93]","[35.61, 54.13]","[35.42, 55.28]","[36.09, 57.33]","[-107.79, 203.32]","[37.37, 57.69]","[36.36, 56.02]","[35.03, 54.77]","[33.86, 55.58]"
"[38.94, 60.74]","[40.57, 60.97]","[38.23, 61.4]","[35.37, 61.24]","[38.86, 58.03]","[40.99, 60.95]","[-102.96, 211.27]","[-105.99, 216.63]","[43.01, 63.77]","[40.36, 59.52]","[37.89, 57.52]","[36.94, 59.17]"
"[42.45, 64.44]","[43.41, 63.62]","[41.62, 64.66]","[39.95, 65.91]","[43.98, 62.77]","[44.34, 64.19]","[-117.08, 226.79]","[44.16, 64.95]","[43.18, 63.9]","[43.36, 61.8]","[43.08, 61.65]","[41.91, 63.84]"
"[46.52, 67.55]","[47.29, 67.05]","[45.65, 68.12]","[44.11, 69.17]","[47.49, 66.3]","[47.79, 67.34]","[-102.03, 218.21]","[47.89, 68.01]","[47.2, 67.17]","[47.64, 65.12]","[47.42, 64.86]","[45.7, 67.34]"
"[50.22, 70.66]","[50.9, 70.42]","[48.9, 72.21]","[48.57, 72.04]","[50.95, 69.53]","[51.0, 69.99]","[-83.22, 204.9]","[51.5, 70.34]","[51.1, 70.12]","[50.58, 69.7]","[50.16, 69.64]","[49.49, 70.64]"
"[32.64, 95.21]","[33.62, 94.24]","[34.52, 92.76]","[34.93, 92.16]","[38.17, 89.85]","[38.55, 91.13]","[-104.13, 234.94]","[38.56, 91.87]","[36.84, 91.94]","[34.08, 93.03]","[34.57, 91.98]","[32.49, 94.63]"
"[12.93, 105.71]","[10.79, 100.43]","[9.93, 101.26]","[15.46, 102.41]","[20.37, 105.15]","[9.39, 119.46]","[-1.13, 128.82]","[13.74, 112.53]","[15.67, 112.56]","[18.01, 114.3]","[19.47, 114.02]","[17.73, 110.49]"
"[-54.39, 154.43]","[-52.11, 153.48]","[-49.01, 152.85]","[-46.66, 153.52]","[-43.41, 151.87]","[-42.07, 149.04]","[-59.73, 162.46]","[-63.59, 161.62]","[-63.59, 158.94]","[-64.22, 159.73]","[-58.74, 156.02]","[-55.32, 154.29]"
