"[-38.42, 285.49]","[-65.95, 306.45]","[-72.16, 297.87]","[-90.27, 294.45]","[-104.59, 284.89]","[-142.42, 304.02]","[-101.3, 256.91]","[-68.82, 234.09]","[-75.77, 262.63]","[-69.9, 282.02]","[-45.1, 278.0]","[-5.6, 250.39]"
"[17.12, 28.73]","[18.86, 30.66]","[18.77, 30.75]","[17.67, 28.4]","[17.31, 26.76]","[19.83, 27.97]","[24.41, 31.65]","[-134.46, 197.12]","[-101.84, 163.91]","[22.95, 31.74]","[17.55, 28.87]","[15.26, 28.01]"
"[17.9, 32.2]","[19.38, 32.39]","[18.54, 32.21]","[18.26, 30.24]","[19.48, 28.81]","[21.21, 30.46]","[23.91, 32.66]","[-142.05, 201.02]","[24.84, 31.93]","[20.88, 30.82]","[17.86, 29.97]","[17.01, 30.68]"
"[19.9, 33.64]","[20.25, 34.57]","[19.34, 34.84]","[19.44, 33.1]","[21.09, 31.11]","[21.86, 32.53]","[23.3, 34.48]","[-117.98, 177.57]","[24.49, 33.73]","[21.53, 33.22]","[19.34, 32.67]","[18.72, 33.1]"
"[21.47, 36.26]","[21.8, 37.19]","[20.68, 37.85]","[20.7, 36.29]","[22.54, 33.89]","[22.73, 35.38]","[23.78, 37.3]","[-108.29, 171.19]","[25.21, 36.76]","[22.7, 36.33]","[21.06, 35.46]","[20.36, 35.87]"
"[23.49, 39.23]","[24.04, 40.15]","[22.71, 40.99]","[22.19, 39.7]","[24.25, 36.84]","[24.25, 38.58]","[25.32, 40.82]","[-117.33, 185.64]","[27.0, 40.41]","[24.52, 39.66]","[23.08, 38.28]","[22.19, 38.82]"
"[25.72, 42.52]","[26.57, 43.12]","[25.34, 44.07]","[24.35, 43.44]","[26.35, 40.48]","[26.23, 41.82]","[27.06, 43.71]","[-105.62, 178.33]","[28.46, 43.65]","[26.75, 42.69]","[25.64, 41.36]","[24.69, 41.99]"
"[28.36, 45.77]","[29.45, 46.09]","[28.27, 47.16]","[26.89, 47.12]","[28.95, 44.04]","[28.8, 44.98]","[29.34, 46.65]","[-87.84, 165.54]","[30.39, 46.94]","[29.56, 45.57]","[28.48, 44.56]","[27.52, 45.21]"
"[31.71, 49.48]","[33.03, 49.66]","[31.13, 50.01]","[28.8, 49.87]","[31.64, 47.27]","[33.37, 49.66]","[-84.01, 172.23]","[-86.39, 176.51]","[35.02, 51.96]","[32.85, 48.49]","[30.85, 46.86]","[30.07, 48.2]"
"[34.61, 52.57]","[35.39, 51.89]","[33.93, 52.74]","[32.58, 53.76]","[35.86, 51.21]","[36.15, 52.37]","[-95.62, 185.1]","[36.01, 52.99]","[35.2, 52.13]","[35.34, 50.42]","[35.12, 50.3]","[34.17, 52.07]"
"[37.98, 55.18]","[38.6, 54.77]","[37.27, 55.64]","[36.02, 56.5]","[38.77, 54.16]","[39.01, 55.02]","[-83.43, 178.32]","[39.1, 55.56]","[38.53, 54.88]","[38.89, 53.2]","[38.71, 52.99]","[37.31, 55.01]"
"[41.06, 57.8]","[41.61, 57.6]","[39.98, 59.06]","[39.71, 58.92]","[41.65, 56.88]","[41.69, 57.26]","[-68.11, 167.63]","[42.11, 57.55]","[41.77, 57.36]","[41.35, 57.02]","[41.0, 56.97]","[40.46, 57.79]"
"[26.73, 78.04]","[27.53, 77.24]","[28.27, 76.03]","[28.61, 75.54]","[31.25, 73.66]","[31.56, 74.72]","[-85.33, 192.53]","[31.57, 75.32]","[30.16, 75.37]","[27.9, 76.26]","[28.3, 75.4]","[26.61, 77.56]"
"[10.58, 86.84]","[8.82, 82.51]","[8.13, 83.19]","[12.67, 84.14]","[16.7, 86.39]","[7.7, 98.13]","[-0.94, 105.81]","[11.25, 92.46]","[12.84, 92.47]","[14.76, 93.91]","[15.96, 93.68]","[14.54, 90.77]"
"[-44.77, 127.12]","[-42.9, 126.34]","[-40.34, 125.82]","[-38.41, 126.37]","[-35.74, 125.01]","[-34.63, 122.69]","[-49.18, 133.74]","[-52.35, 133.04]","[-52.34, 130.83]","[-52.86, 131.47]","[-48.35, 128.43]","[-45.54, 127.0]"
