,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[65, 70]","[893.54360, 1724.79570]","[1041.32397, 1444.50291]","[991.40346, 1540.70887]","[852.23318, 1783.29521]","[1066.64605, 1609.44193]","[916.72607, 1743.18541]","[962.21028, 1738.38823]","[1082.17821, 1797.34563]","[1131.89233, 1999.86393]","[1075.69010, 2204.75508]","[1266.42303, 1927.04966]","[1111.75882, 1799.37250]"
"[70, 75]","[918.57024, 1750.50751]","[1085.84523, 1454.80988]","[1028.74718, 1525.89184]","[866.18797, 1772.32749]","[1088.92908, 1606.22783]","[1005.21168, 1698.28880]","[1000.91477, 1729.16284]","[1101.86045, 1740.55939]","[1159.86809, 1856.44293]","[1131.55496, 2004.83512]","[1197.22813, 1898.60093]","[1125.82699, 1773.78338]"
"[75, 80]","[952.88005, 1731.41846]","[1093.64264, 1470.67751]","[1047.92889, 1526.26621]","[870.04834, 1781.86928]","[1123.34751, 1586.67067]","[1054.90916, 1670.73556]","[1063.70606, 1690.26385]","[1129.31722, 1724.73062]","[1176.35618, 1829.99061]","[1169.60757, 1941.09102]","[1191.03564, 1881.46283]","[1149.23853, 1745.45949]"
"[80, 85]","[952.89762, 1735.35166]","[1123.14296, 1462.53087]","[1074.11885, 1526.24462]","[976.28183, 1695.04304]","[1150.68508, 1570.47396]","[1104.69104, 1630.49416]","[1088.57763, 1678.12469]","[1150.57941, 1715.07096]","[1214.88890, 1791.95514]","[1181.17003, 1914.22329]","[1216.56944, 1832.61712]","[1162.43656, 1716.84054]"
"[85, 90]","[970.03498, 1737.00978]","[1158.97361, 1450.95628]","[1088.48179, 1529.89116]","[1009.94768, 1670.67594]","[1164.94528, 1561.46841]","[1152.03894, 1587.33464]","[1116.08373, 1649.43498]","[1170.72175, 1680.70995]","[1228.57876, 1749.61365]","[1152.84146, 1909.50592]","[1210.55568, 1817.20351]","[1202.34980, 1677.24573]"
"[90, 95]","[981.86869, 1734.90661]","[1148.92484, 1477.23736]","[1112.25708, 1522.08751]","[1052.23405, 1639.05509]","[1192.66637, 1538.66853]","[1137.20742, 1603.98242]","[1138.08295, 1627.97125]","[1179.23679, 1670.43152]","[1249.67414, 1722.51549]","[1158.24897, 1894.69883]","[1233.48868, 1786.41236]","[1235.68403, 1643.65835]"
"[95, 100]","[1016.33694, 1723.48397]","[1185.75220, 1467.90094]","[1118.17514, 1529.76111]","[1043.33878, 1643.92736]","[1173.33562, 1548.84765]","[1141.08140, 1600.26508]","[1148.07395, 1628.48300]","[1204.71802, 1652.58318]","[1253.65804, 1710.27096]","[1156.93617, 1873.99740]","[1226.46866, 1774.97130]","[1251.33129, 1630.03455]"
"[100, 125]","[1089.44148, 1662.86738]","[1205.53894, 1480.69566]","[1143.33016, 1534.95357]","[1094.57491, 1609.89783]","[1212.90641, 1514.35087]","[1184.73328, 1551.38590]","[1154.66148, 1600.13640]","[1186.54044, 1622.27497]","[1217.99182, 1670.11908]","[1161.47935, 1783.84390]","[1195.20513, 1739.39030]","[1234.89093, 1619.49796]"
"[125, 150]","[1109.75992, 1618.25187]","[1211.31004, 1489.64597]","[1159.42552, 1542.34494]","[1125.25045, 1587.61550]","[1215.97787, 1497.12693]","[1181.38731, 1520.24202]","[1151.99461, 1546.89073]","[1154.13172, 1569.64102]","[1149.46999, 1620.94666]","[1151.73792, 1657.21000]","[1127.84374, 1683.03370]","[1197.76671, 1577.12784]"
"[150, 175]","[1104.34948, 1578.00910]","[1153.60868, 1530.11427]","[1122.12252, 1552.18432]","[1082.75291, 1577.42384]","[1166.03751, 1468.77580]","[1126.17132, 1554.19917]","[1104.31572, 1481.66139]","[1064.76995, 1533.34408]","[1014.06557, 1544.84094]","[1162.57862, 1690.64441]","[980.23601, 1628.77373]","[1020.63780, 1581.46953]"
"[175, 200]","[1027.07451, 1530.63040]","[1037.74171, 1543.03065]","[1023.72998, 1590.80246]","[980.10258, 1602.52629]","[1090.90290, 1467.09357]","[994.02262, 1578.04849]","[1033.35617, 1437.16149]","[964.39766, 1492.27176]","[913.33705, 1478.51831]","[1108.67997, 1603.22554]","[830.81879, 1604.40334]","[997.76127, 1487.00494]"
"[200, 225]","[921.12812, 1479.77203]","[940.26658, 1516.92162]","[893.85144, 1624.80080]","[868.03995, 1667.69846]","[1011.96403, 1475.40481]","[886.59816, 1516.49096]","[924.82453, 1413.74201]","[876.66687, 1450.92264]","[874.15893, 1482.35542]","[919.07758, 1465.42845]","[867.28183, 1520.28274]","[930.81002, 1450.64541]"
"[225, 250]","[839.50542, 1393.43237]","[853.68634, 1444.65612]","[721.99035, 1637.50581]","[761.83252, 1604.92189]","[927.01340, 1380.93684]","[812.53660, 1409.33977]","[836.85683, 1327.99782]","[820.36242, 1342.02371]","[828.36243, 1363.73361]","[775.67000, 1437.09524]","[780.43511, 1428.19815]","[854.79669, 1349.04683]"
"[250, 275]","[764.25622, 1335.63172]","[784.71481, 1385.81786]","[614.54978, 1616.34505]","[703.26639, 1528.15706]","[858.37312, 1308.63597]","[754.51338, 1328.80734]","[755.22478, 1280.93474]","[765.61694, 1277.51316]","[750.56491, 1323.39060]","[749.47654, 1337.52261]","[706.77213, 1367.02605]","[787.10724, 1279.19176]"
"[275, 300]","[706.02446, 1260.42622]","[769.57884, 1263.61066]","[554.36240, 1538.64140]","[705.25786, 1392.00563]","[804.33436, 1235.64094]","[664.78076, 1299.45982]","[699.84080, 1223.11451]","[725.45148, 1206.58225]","[546.48180, 1414.81044]","[706.81192, 1263.47623]","[625.81503, 1325.94408]","[725.07334, 1213.34767]"
"[300, 325]","[655.21263, 1196.65186]","[725.26451, 1183.60200]","[540.94774, 1422.86879]","[674.87822, 1296.20117]","[750.70381, 1171.66823]","[624.04552, 1231.27444]","[651.55150, 1167.24954]","[682.75741, 1146.18008]","[507.50103, 1350.93782]","[651.81296, 1216.67596]","[602.59078, 1247.46703]","[680.17269, 1152.48581]"
"[325, 350]","[607.93637, 1137.73563]","[684.94364, 1106.29060]","[543.15856, 1297.48394]","[647.96207, 1205.85540]","[704.67396, 1112.84179]","[561.46990, 1197.12170]","[609.38171, 1110.29237]","[640.87063, 1080.03368]","[616.49357, 1128.33182]","[586.01839, 1172.16892]","[563.27231, 1184.42424]","[648.10679, 1085.18457]"
"[350, 375]","[586.56926, 1081.39165]","[511.39836, 1192.77241]","[532.17676, 1207.82819]","[636.74959, 1112.02646]","[662.92517, 1056.93915]","[549.35454, 1120.47815]","[584.57390, 1044.59886]","[607.34924, 1009.69963]","[646.71400, 981.17954]","[519.34134, 1122.37396]","[522.08398, 1124.45708]","[615.59822, 1034.29562]"
"[375, 400]","[561.62772, 1002.40142]","[608.71986, 987.83696]","[493.09202, 1141.73061]","[618.34062, 1028.14842]","[617.88952, 1002.50277]","[534.47026, 1043.10121]","[549.58620, 1001.99841]","[608.52821, 948.90440]","[587.79453, 991.70751]","[463.26825, 1126.52693]","[504.85438, 1072.66186]","[586.26474, 973.73709]"
"[400, 425]","[580.64504, 953.94451]","[602.11150, 986.91625]","[504.75320, 1112.45618]","[548.40475, 939.88000]","[593.67727, 977.84960]","[580.45624, 985.84728]","[549.20759, 996.18048]","[527.62623, 923.39436]","[583.94192, 916.35854]","[536.99152, 904.55809]","[91.39663, 1582.80195]","[557.28630, 920.56288]"
